seqnames,WindowStart,WindowEnd,FDR_Window,n_sig_in_window,Driver_Genes,All_Genes_In_Window
7,86000000,88000000,1.16382510344024e-6,10,Zic4; Zic1,Zic1; Zic4; Plscr5
10,68000000,70000000,1.90216e-4,5,Gsx2,Gsx2; C530008M17Rik; Clock; Kit
3,90000000,92000000,0.001542666,5,Ctnna2,Ctnna2; Lrrtm1
7,42000000,44000000,0.003144774,9,Cadm1,Cadm1; Zbtb16; Nxpe2; Usp28; Htr3a; Htr3b; Rexo2
2,164000000,166000000,0.012457693,10,Tardbp; Casz1,Pex14; Casz1; Ubiad1; Ube4b; Kif1b; Pik3cd; Tardbp; Mtor
