Assembly Accession	Assembly-unit accession	Chromosome name	GC Count	GC Percent	GenBank seq accession	Molecule type	Ordering	RefSeq seq accession	Role	Seq length	UCSC style name	Unlocalized Count	Sequence name
GCF_003704035.1	Primary Assembly	1	79407748	43.5	CM010879.2	Chromosome		NC_056008.1	assembled-molecule	193310054			chr1
GCF_003704035.1	Primary Assembly	2	68304308	42.5	CM010880.2	Chromosome		NC_056009.1	assembled-molecule	168715211			chr2
GCF_003704035.1	Primary Assembly	3	64256664	42	CM010881.2	Chromosome		NC_056010.1	assembled-molecule	161151335			chr3
GCF_003704035.1	Primary Assembly	4	63620197	42.5	CM010882.2	Chromosome		NC_056011.1	assembled-molecule	154712973			chr4
GCF_003704035.1	Primary Assembly	5	57748905	43	CM010883.2	Chromosome		NC_056012.1	assembled-molecule	139359418			chr5
GCF_003704035.1	Primary Assembly	6	52739744	41	CM010884.2	Chromosome		NC_056013.1	assembled-molecule	134808455			chr6
GCF_003704035.1	Primary Assembly	7	49472359	43.5	CM010885.2	Chromosome		NC_056014.1	assembled-molecule	119402526			chr7
GCF_003704035.1	Primary Assembly	8	47511205	45.5	CM010886.1	Chromosome		NC_056015.1	assembled-molecule	108536456			chr8
GCF_003704035.1	Primary Assembly	9	45439053	41.5	CM010887.2	Chromosome		NC_056016.1	assembled-molecule	115033041			chr9
GCF_003704035.1	Primary Assembly	10	39495987	41.5	CM010888.2	Chromosome		NC_056017.1	assembled-molecule	98965349			chr10
GCF_003704035.1	Primary Assembly	11	37730819	42	CM010889.2	Chromosome		NC_056018.1	assembled-molecule	94517625			chr11
GCF_003704035.1	Primary Assembly	12	32533398	41	CM010890.2	Chromosome		NC_056019.1	assembled-molecule	83173863			chr12
GCF_003704035.1	Primary Assembly	13	26715095	42	CM010891.2	Chromosome		NC_056020.1	assembled-molecule	65685024			chr13
GCF_003704035.1	Primary Assembly	14	35469509	42	CM010892.2	Chromosome		NC_056021.1	assembled-molecule	88525187			chr14
GCF_003704035.1	Primary Assembly	15	30708189	40.5	CM010893.2	Chromosome		NC_056022.1	assembled-molecule	78974444			chr15
GCF_003704035.1	Primary Assembly	16	25757302	41.5	CM010894.2	Chromosome		NC_056023.1	assembled-molecule	63928082			chr16
GCF_003704035.1	Primary Assembly	17	25663557	41.5	CM010895.2	Chromosome		NC_056024.1	assembled-molecule	63635831			chr17
GCF_003704035.1	Primary Assembly	18	18703767	41.5	CM010896.2	Chromosome		NC_056025.1	assembled-molecule	46762208			chr18
GCF_003704035.1	Primary Assembly	19	32365941	42	CM010897.2	Chromosome		NC_056026.1	assembled-molecule	79940924			chr19
GCF_003704035.1	Primary Assembly	20	29478105	43.5	CM010898.1	Chromosome		NC_056027.1	assembled-molecule	70296724			chr20
GCF_003704035.1	Primary Assembly	21	28925781	43.5	CM010899.2	Chromosome		NC_056028.1	assembled-molecule	70257074			chr21
